,event_date,country,counts,population,events_per_capita,gdp_per_capita,Western,Asia,South America,public_trust_percentage
27,2020,Costa Rica,565,5123105,11.028468087224400,12179.2566735195,0,0,0,29.8
28,2021,Costa Rica,192,5153957,3.7252930127278900,12604.0488374731,0,0,0,31.5
29,2022,Costa Rica,164,5180829,3.165516561152670,13365.3563992692,0,0,0,60.0
30,2020,Denmark,561,5831404,9.620324710824360,60836.5924121638,1,0,0,71.6
31,2021,Denmark,828,5856733,14.137574651260400,69268.6517983134,1,0,0,65.2
32,2022,Denmark,371,5903037,6.284900467335710,67790.0539923276,1,0,0,63.5
33,2020,Estonia,141,1329522,10.605315293767200,23595.2436836441,1,0,0,46.5
34,2021,Estonia,113,1330932,8.490291014116430,27943.701219882,1,0,0,51.9
35,2022,Estonia,74,1348840,5.486195545802320,28247.095992497,1,0,0,50.8
36,2020,Finland,216,5529543,3.9062902666639900,49169.7193388499,1,0,0,80.9
37,2021,Finland,265,5541017,4.782515556259800,53504.6936483441,1,0,0,71.4
38,2022,Finland,345,5556106,6.209384774156580,50871.9304508821,1,0,0,77.5
39,2020,France,5165,67571107,7.643799590259790,39179.7442596057,1,0,0,41.0
40,2021,France,8356,67764304,12.33097590731550,43671.3084099631,1,0,0,43.4
41,2022,France,6421,67971311,9.446632565318620,40886.2532680273,1,0,0,43.4
42,2020,Germany,4292,83160871,5.161081105078850,46749.4762280016,1,0,0,65.4
43,2021,Germany,4215,83196078,5.06634459379203,51426.7503654421,1,0,0,60.5
44,2022,Germany,4770,83797985,5.6922609773970100,48717.9911402128,1,0,0,60.8
